frame_idx,dt_ms,view_sse,visible_n,partition_n,load_n,spawn_n,tex_upload_n,evict_n,gpu_tex_cache,mesh_backlog,dl_in_flight,stale_skips,retry_after,frame_mesh,frame_despawn,evict_deferred
1,0.000,0,8,104,32,8,0,0,0,72,116,0,0,12,0,0
2,6.530,0,19,92,32,11,0,0,0,92,116,0,0,12,0,0
3,117.985,0,26,88,40,7,0,0,0,80,124,0,0,12,0,0
4,6.334,0,29,76,40,3,0,0,0,76,124,0,0,12,0,0
5,2.579,0,30,64,40,1,0,0,0,64,124,0,0,12,0,0
6,2.926,0,33,52,40,3,0,0,0,52,124,0,0,12,0,0
7,3.768,0,40,40,40,7,0,0,0,40,124,0,0,12,0,0
8,1.340,0,40,40,40,0,0,0,0,28,124,0,0,12,0,0
9,1.301,0,40,40,40,0,0,0,0,16,124,0,0,12,0,0
10,3.136,0,40,40,40,0,0,0,0,4,124,0,0,12,0,0
11,1.496,0,40,40,40,0,0,0,0,0,124,0,0,4,0,0
12,1.956,0,40,40,40,0,0,0,0,0,124,0,0,0,0,0
13,0.909,0,40,40,40,0,0,0,0,0,124,0,0,0,0,0
14,5.510,0,40,40,40,0,0,0,0,0,124,0,0,0,0,0
15,9.435,0,40,40,40,0,0,0,0,0,124,0,0,0,0,0
16,7.207,0,40,40,40,0,0,0,0,0,124,0,0,0,0,0
17,8.383,0,40,40,40,0,0,0,0,0,124,0,0,0,0,0
18,30.815,0,40,40,40,0,0,0,0,0,124,0,0,0,0,0
19,1.284,0,40,40,40,0,0,0,0,0,124,0,0,0,0,0
20,1.185,0,40,40,40,0,0,0,0,0,124,0,0,0,0,0
21,14.064,0,40,40,40,0,0,0,0,0,124,0,0,0,0,0
22,41.880,0,40,40,40,0,1,0,1,0,123,0,0,0,0,0
23,0.987,0,40,40,40,0,0,0,1,0,123,0,0,0,0,0
24,0.902,0,42,38,40,2,0,0,1,0,123,0,0,2,0,0
25,6.678,0,44,36,38,2,1,0,2,0,122,0,0,2,0,0
26,25.134,0,44,36,36,0,2,0,4,0,120,0,0,0,0,0
27,1.282,0,44,36,36,0,0,0,4,0,120,0,0,0,0,0
28,0.964,0,45,35,36,1,0,0,4,0,120,0,0,1,0,0
29,5.696,0,48,32,35,3,0,0,4,0,120,0,0,3,0,0
30,25.355,0,48,32,32,0,0,0,4,0,120,0,0,0,0,0
