frame_idx,dt_ms,view_sse,visible_n,partition_n,load_n,spawn_n,tex_upload_n,evict_n,gpu_tex_cache,mesh_backlog,dl_in_flight,stale_skips,retry_after,frame_mesh,frame_despawn,evict_deferred
1,0.000,0,9,72,0,9,0,0,0,69,84,0,0,12,0,0
2,6.722,0,20,60,0,11,0,0,0,60,84,0,0,12,0,0
3,161.558,0,29,48,0,9,0,0,0,48,84,0,0,12,0,0
4,6.503,0,35,36,0,6,0,0,0,36,84,0,0,12,0,0
5,2.414,0,40,24,0,5,0,0,0,24,84,0,0,12,0,0
6,2.867,0,44,12,0,4,0,0,0,12,84,0,0,12,0,0
7,3.367,0,47,0,0,3,0,0,0,0,84,0,0,12,0,0
8,1.381,0,47,0,0,0,0,0,0,0,84,0,0,0,0,0
9,1.291,0,47,0,0,0,0,0,0,0,84,0,0,0,0,0
10,0.986,0,47,0,0,0,0,0,0,0,84,0,0,0,0,0
11,1.414,0,47,0,0,0,0,0,0,0,84,0,0,0,0,0
12,1.141,0,47,0,0,0,0,0,0,0,84,0,0,0,0,0
13,8.786,0,47,0,0,0,0,0,0,0,84,0,0,0,0,0
14,15.353,0,47,0,0,0,0,0,0,0,84,0,0,0,0,0
15,16.631,0,47,0,0,0,0,0,0,0,84,0,0,0,0,0
16,16.448,0,47,0,0,0,0,0,0,0,84,0,0,0,0,0
17,25.402,0,47,0,0,0,0,0,0,0,84,0,0,0,0,0
18,1.005,0,47,0,0,0,0,0,0,0,84,0,0,0,0,0
19,0.852,0,47,0,0,0,0,0,0,0,84,0,0,0,0,0
20,6.384,0,47,0,0,0,0,0,0,0,84,0,0,0,0,0
21,24.948,0,47,0,0,0,0,0,0,0,84,0,0,0,0,0
22,0.902,0,47,0,0,0,0,0,0,0,84,0,0,0,0,0
23,2.574,0,47,0,0,0,0,0,0,0,84,0,0,0,0,0
24,4.762,0,47,0,0,0,0,0,0,0,84,0,0,0,0,0
25,25.137,0,47,0,0,0,0,0,0,0,84,0,0,0,0,0
26,0.917,0,47,0,0,0,0,0,0,0,84,0,0,0,0,0
27,0.721,0,47,0,0,0,0,0,0,0,84,0,0,0,0,0
28,6.594,0,47,0,0,0,0,0,0,0,84,0,0,0,0,0
29,25.061,0,47,0,0,0,0,0,0,0,84,0,0,0,0,0
30,0.964,0,47,0,0,0,0,0,0,0,84,0,0,0,0,0
31,0.791,0,47,0,0,0,0,0,0,0,84,0,0,0,0,0
32,6.639,0,47,0,0,0,0,0,0,0,84,0,0,0,0,0
33,25.098,0,48,0,0,1,0,0,0,0,84,0,0,0,0,0
34,0.913,0,48,0,0,0,0,0,0,0,84,0,0,0,0,0
35,0.757,0,48,0,0,0,0,0,0,0,84,0,0,0,0,0
36,6.563,0,48,0,0,0,0,0,0,0,84,0,0,0,0,0
37,25.059,0,48,0,0,0,0,0,0,0,84,0,0,0,0,0
38,1.169,0,48,0,0,0,0,0,0,0,84,0,0,0,0,0
39,0.770,0,48,0,0,0,0,0,0,0,84,0,0,0,0,0
40,6.260,0,48,0,0,0,0,0,0,0,84,0,0,0,0,0
41,25.125,0,48,0,0,0,0,0,0,0,84,0,0,0,0,0
42,0.870,0,48,0,0,0,0,0,0,0,84,0,0,0,0,0
43,0.862,0,48,0,0,0,0,0,0,0,84,0,0,0,0,0
44,6.664,0,48,0,0,0,0,0,0,0,84,0,0,0,0,0
45,24.844,0,48,0,0,0,0,0,0,0,84,0,0,0,0,0
46,0.891,0,48,0,0,0,0,0,0,0,84,0,0,0,0,0
47,0.902,0,48,0,0,0,0,0,0,0,84,0,0,0,0,0
48,6.417,0,48,0,0,0,0,0,0,0,84,0,0,0,0,0
49,25.244,0,48,0,0,0,0,0,0,0,84,0,0,0,0,0
50,0.928,0,48,0,0,0,0,0,0,0,84,0,0,0,0,0
51,1.427,0,48,0,0,0,0,0,0,0,84,0,0,0,0,0
52,5.796,0,48,0,0,0,1,0,1,0,83,0,0,0,0,0
53,25.109,0,48,0,0,0,2,0,3,0,81,0,0,0,0,0
54,1.209,0,48,0,0,0,0,0,3,0,81,0,0,0,0,0
55,1.008,0,48,0,0,0,0,0,3,0,81,0,0,0,0,0
56,5.982,0,48,0,0,0,0,0,3,0,81,0,0,0,0,0
57,25.152,0,48,0,0,0,2,0,5,0,79,0,0,0,0,0
58,0.915,0,48,0,0,0,0,0,5,0,79,0,0,0,0,0
59,1.038,0,48,0,0,0,0,0,5,0,79,0,0,0,0,0
60,6.379,0,48,0,0,0,0,0,5,0,79,0,0,0,0,0
61,24.922,0,48,0,0,0,0,0,5,0,79,0,0,0,0,0
62,1.049,0,48,0,0,0,0,0,5,0,79,0,0,0,0,0
63,0.738,0,48,0,0,0,0,0,5,0,79,0,0,0,0,0
64,6.698,0,48,0,0,0,0,0,5,0,79,0,0,0,0,0
65,25.125,0,48,0,0,0,0,0,5,0,79,0,0,0,0,0
66,0.914,0,48,0,0,0,0,0,5,0,79,0,0,0,0,0
