frame_idx,dt_ms,view_sse,visible_n,partition_n,load_n,spawn_n,tex_upload_n,evict_n,gpu_tex_cache,mesh_backlog,dl_in_flight,stale_skips,retry_after,frame_mesh,frame_despawn,evict_deferred
1,0.000,0,9,72,0,9,0,0,0,70,84,0,0,12,0,0
2,4.926,0,18,60,0,9,0,0,0,60,84,0,0,12,0,0
3,110.832,0,30,48,0,12,0,0,0,48,84,0,0,12,0,0
4,5.912,0,37,36,0,7,0,0,0,36,84,0,0,12,0,0
5,2.535,0,44,24,0,7,0,0,0,24,84,0,0,12,0,0
6,2.521,0,50,12,0,6,0,0,0,12,84,0,0,12,0,0
7,2.918,0,58,0,0,8,0,0,0,0,84,0,0,12,0,0
8,1.158,0,58,0,0,0,0,0,0,0,84,0,0,0,0,0
9,1.159,0,58,0,0,0,0,0,0,0,84,0,0,0,0,0
10,0.922,0,58,0,0,0,0,0,0,0,84,0,0,0,0,0
11,0.798,0,58,0,0,0,0,0,0,0,84,0,0,0,0,0
12,1.797,0,58,0,0,0,0,0,0,0,84,0,0,0,0,0
13,6.364,0,58,0,0,0,0,0,0,0,84,0,0,0,0,0
14,10.184,0,58,0,0,0,0,0,0,0,84,0,0,0,0,0
15,0.867,0,58,0,0,0,0,0,0,0,84,0,0,0,0,0
16,7.623,0,58,0,0,0,0,0,0,0,84,0,0,0,0,0
17,25.540,0,58,0,0,0,0,0,0,0,84,0,0,0,0,0
18,0.830,0,58,0,0,0,0,0,0,0,84,0,0,0,0,0
19,1.712,0,58,0,0,0,0,0,0,0,84,0,0,0,0,0
20,11.196,0,58,0,0,0,0,0,0,0,84,0,0,0,0,0
21,33.624,0,58,0,0,0,0,0,0,0,84,0,0,0,0,0
22,0.854,0,58,0,0,0,0,0,0,0,84,0,0,0,0,0
23,0.923,0,58,0,0,0,0,0,0,0,84,0,0,0,0,0
24,14.727,0,58,0,0,0,0,0,0,0,84,0,0,0,0,0
25,33.725,0,58,0,0,0,2,0,2,0,82,0,0,0,0,0
26,0.765,0,58,0,0,0,0,0,2,0,82,0,0,0,0,0
27,1.041,0,58,0,0,0,0,0,2,0,82,0,0,0,0,0
28,6.132,0,58,0,0,0,1,0,3,0,81,0,0,0,0,0
29,25.231,0,58,0,0,0,0,0,3,0,81,0,0,0,0,0
30,1.065,0,58,0,0,0,0,0,3,0,81,0,0,0,0,0
31,0.864,0,58,0,0,0,0,0,3,0,81,0,0,0,0,0
32,6.117,0,58,0,0,0,0,0,3,0,81,0,0,0,0,0
33,25.163,0,58,0,0,0,0,0,3,0,81,0,0,0,0,0
34,1.015,0,58,0,0,0,0,0,3,0,81,0,0,0,0,0
35,0.817,0,58,0,0,0,0,0,3,0,81,0,0,0,0,0
36,6.452,0,58,0,0,0,0,0,3,0,81,0,0,0,0,0
37,25.116,0,58,0,0,0,1,0,4,0,80,0,0,0,0,0
38,0.977,0,58,0,0,0,0,0,4,0,80,0,0,0,0,0
39,0.995,0,58,0,0,0,0,0,4,0,80,0,0,0,0,0
40,6.066,0,58,0,0,0,1,0,5,0,79,0,0,0,0,0
41,25.319,0,58,0,0,0,1,0,6,0,78,0,0,0,0,0
42,1.286,0,58,0,0,0,0,0,6,0,78,0,0,0,0,0
43,1.305,0,58,0,0,0,0,0,6,0,78,0,0,0,0,0
44,5.431,0,58,0,0,0,0,0,6,0,78,0,0,0,0,0
45,25.302,0,58,0,0,0,1,0,7,0,77,0,0,0,0,0
46,1.089,0,58,0,0,0,0,0,7,0,77,0,0,0,0,0
47,0.807,0,58,0,0,0,0,0,7,0,77,0,0,0,0,0
48,6.328,0,58,0,0,0,1,0,8,0,76,0,0,0,0,0
49,25.045,0,58,0,0,0,8,0,16,0,68,0,0,0,0,0
50,1.277,0,58,0,0,0,1,0,17,0,67,0,0,0,0,0
51,1.875,0,58,0,0,0,0,0,17,0,67,0,0,0,0,0
52,5.106,0,58,0,0,0,0,0,17,0,67,0,0,0,0,0
53,25.075,0,58,0,0,0,1,0,18,0,66,0,0,0,0,0
54,0.933,0,58,0,0,0,0,0,18,0,66,0,0,0,0,0
55,0.888,0,58,0,0,0,1,0,19,0,65,0,0,0,0,0
56,6.784,0,58,0,0,0,0,0,19,0,65,0,0,0,0,0
57,24.779,0,58,0,0,0,0,0,19,0,65,0,0,0,0,0
58,0.880,0,58,0,0,0,0,0,19,0,65,0,0,0,0,0
59,2.057,0,58,0,0,0,0,0,19,0,65,0,0,0,0,0
60,5.147,0,58,0,0,0,0,0,19,0,65,0,0,0,0,0
61,25.245,0,58,0,0,0,3,0,22,0,62,0,0,0,0,0
62,0.936,0,58,0,0,0,0,0,22,0,62,0,0,0,0,0
63,2.131,0,58,0,0,0,0,0,22,0,62,0,0,0,0,0
64,5.074,0,58,0,0,0,0,0,22,0,62,0,0,0,0,0
65,25.198,0,58,0,0,0,0,0,22,0,62,0,0,0,0,0
66,0.869,0,58,0,0,0,0,0,22,0,62,0,0,0,0,0
67,0.709,0,58,0,0,0,0,0,22,0,62,0,0,0,0,0
68,6.490,0,58,0,0,0,0,0,22,0,62,0,0,0,0,0
69,25.261,0,58,0,0,0,2,0,24,0,60,0,0,0,0,0
70,1.043,0,58,0,0,0,0,0,24,0,60,0,0,0,0,0
71,0.938,0,58,0,0,0,0,0,24,0,60,0,0,0,0,0
72,6.138,0,58,0,0,0,0,0,24,0,60,0,0,0,0,0
73,25.155,0,58,0,0,0,3,0,27,0,57,0,0,0,0,0
74,1.142,0,58,0,0,0,0,0,27,0,57,0,0,0,0,0
75,1.014,0,58,0,0,0,0,0,27,0,57,0,0,0,0,0
76,6.128,0,58,0,0,0,1,0,28,0,56,0,0,0,0,0
77,25.057,0,58,0,0,0,6,0,34,0,25,25,0,0,0,0
78,1.106,0,58,0,0,0,0,0,34,0,25,25,0,0,0,0
79,1.671,0,58,0,0,0,0,0,34,0,25,25,0,0,0,0
80,5.472,0,58,0,0,0,0,0,34,0,25,25,0,0,0,0
81,25.254,0,58,0,0,0,1,0,35,0,23,26,0,0,0,0
82,0.863,0,58,0,0,0,0,0,35,0,23,26,0,0,0,0
83,0.897,0,58,0,0,0,0,0,35,0,23,26,0,0,0,0
84,6.221,0,58,0,0,0,0,0,35,0,23,26,0,0,0,0
85,25.322,0,58,0,0,0,0,0,35,0,23,26,0,0,0,0
86,0.928,0,58,0,0,0,0,0,35,0,23,26,0,0,0,0
87,1.044,0,58,0,0,0,0,0,35,0,23,26,0,0,0,0
88,6.010,0,58,0,0,0,0,0,35,0,23,26,0,0,0,0
89,25.279,0,58,0,0,0,2,0,37,0,21,26,0,0,0,0
90,0.922,0,58,0,0,0,0,0,37,0,21,26,0,0,0,0
91,0.965,0,58,0,0,0,0,0,37,0,21,26,0,0,0,0
92,6.268,0,58,0,0,0,0,0,37,0,21,26,0,0,0,0
93,25.133,0,58,0,0,0,0,0,37,0,21,26,0,0,0,0
94,0.860,0,58,0,0,0,0,0,37,0,21,26,0,0,0,0
95,0.754,0,58,0,0,0,0,0,37,0,21,26,0,0,0,0
96,6.538,0,58,0,0,0,0,0,37,0,21,26,0,0,0,0
97,25.218,0,58,0,0,0,5,0,42,0,16,26,0,0,0,0
98,1.000,0,58,0,0,0,0,0,42,0,16,26,0,0,0,0
99,1.290,0,58,0,0,0,0,0,42,0,16,26,0,0,0,0
100,5.832,0,58,0,0,0,0,0,42,0,16,26,0,0,0,0
101,25.300,0,58,0,0,0,3,0,45,0,13,26,0,0,0,0
102,0.878,0,58,0,0,0,0,0,45,0,13,26,0,0,0,0
103,0.965,0,58,0,0,0,0,0,45,0,13,26,0,0,0,0
104,6.269,0,58,0,0,0,0,0,45,0,13,26,0,0,0,0
105,25.175,0,58,0,0,0,1,0,46,0,12,26,0,0,0,0
106,0.895,0,58,0,0,0,0,0,46,0,12,26,0,0,0,0
107,1.600,0,58,0,0,0,0,0,46,0,12,26,0,0,0,0
108,5.707,0,58,0,0,0,1,0,47,0,11,26,0,0,0,0
109,25.078,0,58,0,0,0,2,0,49,0,9,26,0,0,0,0
110,0.944,0,58,0,0,0,0,0,49,0,9,26,0,0,0,0
111,0.887,0,58,0,0,0,0,0,49,0,9,26,0,0,0,0
112,6.398,0,58,0,0,0,0,0,49,0,9,26,0,0,0,0
113,25.191,0,58,0,0,0,0,0,49,0,9,26,0,0,0,0
114,0.871,0,58,0,0,0,0,0,49,0,9,26,0,0,0,0
115,0.740,0,58,0,0,0,0,0,49,0,9,26,0,0,0,0
116,6.620,0,58,0,0,0,0,0,49,0,9,26,0,0,0,0
117,24.969,0,58,0,0,0,0,0,49,0,9,26,0,0,0,0
118,0.851,0,58,0,0,0,0,0,49,0,9,26,0,0,0,0
119,0.709,0,58,0,0,0,0,0,49,0,9,26,0,0,0,0
120,6.515,0,58,0,0,0,0,0,49,0,9,26,0,0,0,0
121,25.164,0,58,0,0,0,2,0,51,0,7,26,0,0,0,0
122,0.943,0,58,0,0,0,0,0,51,0,7,26,0,0,0,0
123,0.969,0,58,0,0,0,0,0,51,0,7,26,0,0,0,0
124,6.542,0,58,0,0,0,0,0,51,0,7,26,0,0,0,0
125,24.977,0,58,0,0,0,0,0,51,0,7,26,0,0,0,0
126,0.867,0,58,0,0,0,0,0,51,0,7,26,0,0,0,0
127,0.711,0,58,0,0,0,0,0,51,0,7,26,0,0,0,0
128,6.652,0,58,0,0,0,0,0,51,0,7,26,0,0,0,0
129,25.194,0,58,0,0,0,0,0,51,0,7,26,0,0,0,0
130,0.894,0,58,0,0,0,0,0,51,0,7,26,0,0,0,0
131,1.869,0,58,0,0,0,0,0,51,0,7,26,0,0,0,0
132,5.387,0,58,0,0,0,0,0,51,0,7,26,0,0,0,0
133,25.098,0,58,0,0,0,0,0,51,0,7,26,0,0,0,0
134,0.858,0,58,0,0,0,0,0,51,0,7,26,0,0,0,0
135,0.754,0,58,0,0,0,0,0,51,0,7,26,0,0,0,0
136,6.728,0,58,0,0,0,0,0,51,0,7,26,0,0,0,0
137,25.099,0,58,0,0,0,0,0,51,0,7,26,0,0,0,0
138,0.970,0,58,0,0,0,0,0,51,0,7,26,0,0,0,0
139,0.750,0,58,0,0,0,0,0,51,0,7,26,0,0,0,0
140,6.374,0,58,0,0,0,0,0,51,0,7,26,0,0,0,0
141,25.091,0,58,0,0,0,0,0,51,0,7,26,0,0,0,0
142,0.911,0,58,0,0,0,0,0,51,0,7,26,0,0,0,0
143,0.713,0,58,0,0,0,0,0,51,0,7,26,0,0,0,0
144,6.625,0,58,0,0,0,0,0,51,0,7,26,0,0,0,0
145,25.188,0,58,0,0,0,0,0,51,0,7,26,0,0,0,0
146,0.930,0,58,0,0,0,0,0,51,0,7,26,0,0,0,0
147,0.744,0,58,0,0,0,0,0,51,0,7,26,0,0,0,0
148,6.338,0,58,0,0,0,0,0,51,0,7,26,0,0,0,0
149,25.149,0,58,0,0,0,0,0,51,0,7,26,0,0,0,0
150,1.198,0,58,0,0,0,1,0,52,0,6,26,0,0,0,0
151,0.827,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
152,6.307,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
153,25.241,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
154,0.868,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
155,1.675,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
156,5.554,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
157,25.066,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
158,0.878,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
159,1.071,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
160,6.338,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
161,25.117,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
162,0.938,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
163,0.768,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
164,6.558,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
165,25.010,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
166,0.791,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
167,0.747,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
168,6.578,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
169,25.319,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
170,0.879,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
171,0.810,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
172,6.412,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
173,25.203,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
174,0.810,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
175,0.796,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
176,6.733,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
177,24.969,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
178,0.940,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
179,0.780,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
180,6.507,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
181,25.104,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
182,0.875,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
183,1.364,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
184,5.898,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
185,25.127,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
186,0.801,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
187,0.903,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
188,6.641,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
189,24.999,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
190,0.979,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
191,0.763,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
192,6.520,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
193,25.167,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
194,0.953,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
195,0.767,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
196,6.452,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
197,25.018,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
198,0.887,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
199,0.734,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
200,6.748,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
201,25.096,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
202,0.860,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
203,0.706,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
204,6.623,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
205,25.105,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
206,0.959,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
207,0.737,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
208,6.490,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
209,25.160,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
210,0.905,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
211,0.729,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
212,6.590,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
213,25.079,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
