frame_idx,dt_ms,view_sse,visible_n,partition_n,load_n,spawn_n,tex_upload_n,evict_n,gpu_tex_cache,mesh_backlog,dl_in_flight,stale_skips,retry_after,frame_mesh,frame_despawn,evict_deferred
1,0.000,0,2,206,134,2,0,0,0,64,218,0,0,12,0,0
2,6.637,0,10,194,134,8,0,0,0,194,218,0,0,12,0,0
3,148.965,0,17,196,108,7,0,0,0,182,232,0,0,12,0,0
4,6.218,0,19,184,108,2,0,0,0,184,232,0,0,12,0,0
5,2.183,0,23,172,108,4,0,0,0,172,232,0,0,12,0,0
6,2.907,0,29,160,108,6,0,0,0,160,232,0,0,12,0,0
7,2.882,0,32,148,108,3,0,0,0,148,232,0,0,12,0,0
8,1.296,0,32,146,110,0,0,0,0,136,234,0,0,12,0,0
9,2.228,0,32,144,110,0,0,0,0,126,234,0,0,12,0,0
10,2.846,0,32,143,110,0,0,0,0,114,234,0,0,12,0,0
11,0.866,0,32,140,110,0,0,0,0,102,234,0,0,12,0,0
12,0.877,0,32,136,110,0,0,0,0,90,234,0,0,12,0,0
13,1.222,0,32,133,110,0,0,0,0,78,234,0,0,12,0,0
14,10.909,0,32,130,112,0,0,0,0,66,236,0,0,12,0,0
15,16.277,0,32,127,112,0,0,0,0,56,236,0,0,12,0,0
16,0.902,0,32,122,112,0,0,0,0,44,236,0,0,12,0,0
17,7.155,0,32,116,112,0,0,0,0,32,236,0,0,12,0,0
18,58.513,0,32,110,110,0,0,0,0,20,242,0,0,12,0,0
19,1.331,0,32,110,110,0,0,0,0,14,242,0,0,12,0,0
20,1.012,0,32,110,110,0,0,0,0,2,242,0,0,12,0,0
21,5.935,0,32,110,110,0,0,0,0,0,244,0,0,2,0,0
22,25.038,0,32,110,110,0,0,0,0,0,244,0,0,2,0,0
23,0.796,0,32,110,110,0,0,0,0,0,244,0,0,0,0,0
24,0.698,0,32,110,110,0,0,0,0,0,244,0,0,0,0,0
25,6.752,0,32,110,110,0,0,0,0,0,244,0,0,0,0,0
26,25.234,0,32,102,102,0,0,0,0,0,244,0,0,0,0,0
27,0.860,0,32,102,102,0,0,0,0,0,244,0,0,0,0,0
28,0.907,0,32,102,102,0,0,0,0,0,244,0,0,0,0,0
29,6.451,0,32,102,102,0,0,0,0,0,244,0,0,0,0,0
30,25.080,0,34,106,106,2,0,0,0,0,248,0,0,0,0,0
31,0.760,0,34,106,106,0,0,0,0,0,248,0,0,3,0,0
32,0.868,0,34,106,106,0,0,0,0,0,248,0,0,1,0,0
33,6.448,0,34,106,106,0,0,0,0,0,248,0,0,0,0,0
34,25.161,0,34,108,108,0,0,0,0,0,250,0,0,0,0,0
35,0.789,0,34,108,108,0,0,0,0,0,250,0,0,2,0,0
36,0.881,0,34,108,108,0,0,0,0,0,250,0,0,0,0,0
37,6.511,0,36,110,110,2,0,0,0,0,252,0,0,0,0,0
38,25.131,0,36,96,96,0,0,0,0,0,252,0,0,2,0,0
39,0.836,0,36,96,96,0,0,0,0,0,252,0,0,0,0,0
40,0.666,0,36,96,96,0,0,0,0,0,252,0,0,0,0,0
41,6.626,0,36,96,96,0,0,0,0,0,252,0,0,0,0,0
42,25.332,0,38,96,96,2,0,0,0,0,252,0,0,0,0,0
43,0.783,0,38,96,96,0,0,0,0,0,252,0,0,0,0,0
44,1.509,0,38,96,96,0,0,0,0,0,252,0,0,0,0,0
45,5.986,0,38,96,96,0,0,0,0,0,252,0,0,0,0,0
46,25.105,0,38,96,96,0,0,0,0,0,252,0,0,0,0,0
47,0.801,0,38,96,96,0,0,0,0,0,252,0,0,0,0,0
48,2.212,0,38,96,96,0,0,0,0,0,252,0,0,0,0,0
49,4.932,0,38,96,96,0,0,0,0,0,252,0,0,0,0,0
50,25.248,0,40,80,80,2,0,0,0,0,252,0,0,0,0,0
51,0.774,0,40,80,80,0,0,0,0,0,252,0,0,0,0,0
52,2.559,0,40,80,80,0,0,0,0,0,252,0,0,0,0,0
53,4.700,0,40,80,80,0,0,0,0,0,252,0,0,0,0,0
54,25.246,0,40,72,72,0,0,0,0,0,252,0,0,0,0,0
55,0.762,0,40,72,72,0,0,0,0,0,252,0,0,0,0,0
56,1.893,0,40,72,72,0,0,0,0,0,252,0,0,0,0,0
57,5.437,0,40,72,72,0,0,0,0,0,252,0,0,0,0,0
58,25.472,0,40,72,72,0,0,0,0,0,252,0,0,0,0,0
